scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,problems,card,comments
HR,15,R2,4472,C,FALSE,NA,FALSE,FALSE,7,3,1,3,0,No,FALSE,"6,1",3,FALSE,FALSE,0,No Card,Beached on fuel
AW,15,R3,2988,M,FALSE,NA,FALSE,FALSE,5,4,0,1,4,No,FALSE,2,3,FALSE,FALSE,0,No Card,"Slow robot, managed to get an alliance member unbeached, not very accurate shooter."
AD,15,B1,116,F,FALSE,NA,FALSE,FALSE,2,0,4,0,0,No,FALSE,NA,1,TRUE,FALSE,0,No Card,NA
BS,15,B2,4456,M,FALSE,NA,FALSE,FALSE,4,4,1,3,0,No,FALSE,1,1,FALSE,FALSE,0,No Card,NA
AY,15,B3,5338,C,FALSE,3,FALSE,FALSE,0,8,3,7,3,No,FALSE,"2,6",4,FALSE,FALSE,0,No Card,NA
JD,16,R1,2914,M,FALSE,NA,FALSE,FALSE,0,0,1,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
HR,16,R2,2912,C,FALSE,NA,FALSE,FALSE,5,0,0,0,0,No,FALSE,2,1,FALSE,FALSE,0,No Card,"Shooter malfunction, possibly drivetrain malfunction"
RX,16,R3,4638,F,FALSE,NA,FALSE,TRUE,0,1,1,0,0,No,FALSE,2,2,FALSE,FALSE,0,No Card,Outake and intakes appeared broken
AD,16,B1,11318,M,FALSE,NA,FALSE,FALSE,2,8,0,3,6,No,FALSE,6,3,FALSE,TRUE,0,No Card,NA
BS,16,B2,3714,F,FALSE,NA,FALSE,FALSE,0,0,2,0,0,No,FALSE,NA,3,FALSE,FALSE,0,No Card,"Didn»t make a single fuel, slow"
AY,16,B3,4464,C,FALSE,NA,FALSE,FALSE,0,2,0,0,0,No,FALSE,2,1,FALSE,FALSE,0,No Card,Moved very slowly
AW,17,R1,1727,F,FALSE,3,FALSE,FALSE,10,5,0,4,0,No,FALSE,5,3,TRUE,FALSE,0,No Card,"Died in the last 30s or so, was susceptible to the defense being played 4821"
HR,17,R2,11211,F,FALSE,NA,FALSE,FALSE,0,0,5,0,0,No,FALSE,"4,5,2",3,FALSE,FALSE,0,No Card,NA
RX,17,R3,5353,C,FALSE,3,FALSE,FALSE,2,3,0,3,5,No,FALSE,"2,6",3,FALSE,FALSE,0,No Card,"Passed a lot to human player, very low hopper capacity"
AD,17,B1,2537,C,FALSE,31,FALSE,FALSE,13,11,0,0,5,No,FALSE,"2,4,5,3",4,FALSE,FALSE,0,No Card,"Really good auto, I think their intake broke?"
BS,17,B2,4821,M,FALSE,NA,FALSE,FALSE,0,1,3,0,9,No,FALSE,4,3,FALSE,FALSE,0,No Card,Shooter is very slow
AY,17,B3,2186,F,FALSE,NA,FALSE,FALSE,5,4,0,0,2,L1,FALSE,"2,6",3,FALSE,FALSE,0,No Card,Fed to HP a lot
AW,18,R1,449,C,FALSE,3,FALSE,FALSE,10,6,0,1,0,No,FALSE,3,4,FALSE,FALSE,0,No Card,"Intake broke quickly, played defense on the blue alliance"
HR,18,R2,5338,M,FALSE,NA,FALSE,FALSE,3,5,1,2,6,No,FALSE,"6,2",4,FALSE,FALSE,0,No Card,NA
RX,18,R3,4472,F,FALSE,3,FALSE,FALSE,9,2,0,3,7,No,FALSE,6,4,TRUE,TRUE,0,No Card,Disconnected mid match for like 10 seconds
AD,18,B1,6239,M,FALSE,NA,FALSE,FALSE,4,8,0,0,1,No,FALSE,4,3,FALSE,FALSE,0,No Card,NA
BS,18,B2,5549,C,FALSE,3,FALSE,FALSE,4,1,0,2,5,No,FALSE,NA,4,FALSE,FALSE,0,No Card,NA
AY,18,B3,1731,F,FALSE,3,FALSE,FALSE,7,4,1,3,2,No,FALSE,"2,6",5,FALSE,FALSE,0,No Card,449 played hard defense on them
AW,19,R1,1389,M,FALSE,NA,FALSE,FALSE,3,0,3,0,5,No,FALSE,6,2,FALSE,FALSE,0,No Card,"Poor intake, not great herding"
HR,19,R2,116,F,FALSE,NA,FALSE,FALSE,4,0,6,1,4,No,FALSE,"2,6",3,FALSE,FALSE,0,No Card,Attempted climb
RX,19,R3,7886,C,FALSE,NA,FALSE,FALSE,0,4,2,0,0,No,FALSE,2,3,FALSE,FALSE,0,No Card,Did not intake
AD,19,B1,5841,M,FALSE,NA,FALSE,FALSE,0,8,1,0,0,No,FALSE,2,3,FALSE,FALSE,0,No Card,Just a drive train
BS,19,B2,4464,F,FALSE,NA,FALSE,FALSE,0,3,1,0,0,No,FALSE,1,3,FALSE,FALSE,0,No Card,NA
AY,19,B3,3373,C,FALSE,1,FALSE,FALSE,1,0,1,2,4,No,FALSE,"2,6",2,FALSE,FALSE,0,No Card,NA
BP,2,R1,2186,C,FALSE,NA,FALSE,FALSE,2,6,0,1,0,F,FALSE,1,3,FALSE,FALSE,0,No Card,Slow rate of fire and imtaking
HR,2,R2,2421,M,FALSE,NA,FALSE,FALSE,0,3,3,1,7,No,FALSE,6,2,FALSE,FALSE,0,No Card,No auto
AC,2,R3,3373,F,FALSE,1,FALSE,FALSE,5,0,4,3,3,No,FALSE,6,3,FALSE,FALSE,0,No Card,3373 very slow intake
AD,2,B1,4821,M,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
BS,2,B2,4464,C,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,3,TRUE,FALSE,0,No Card,NA
AZ,2,B3,116,F,FALSE,NA,FALSE,FALSE,0,0,6,0,4,L1,TRUE,2,2,FALSE,FALSE,0,No Card,Robot swerve looked broken near the end
AW,20,R1,8590,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
HR,20,R2,2900,C,FALSE,NA,FALSE,FALSE,0,9,1,1,0,No,FALSE,"2,6",3,FALSE,FALSE,0,No Card,Indexer/shooter malfunction
RX,20,R3,2988,M,FALSE,NA,FALSE,FALSE,6,6,2,2,7,No,FALSE,6,3,FALSE,FALSE,0,No Card,"Passed to human players, seems like tank drive, weird turns"
MH,20,B1,1727,F,FALSE,NA,FALSE,FALSE,0,6,0,1,2,No,FALSE,"1,2,6",3,FALSE,FALSE,0,No Card,NA
BS,20,B2,2537,C,FALSE,3,FALSE,FALSE,8,3,0,3,4,No,FALSE,6,5,FALSE,FALSE,0,No Card,NA
AZ,20,B3,2914,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
AW,21,R1,1446,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
HR,21,R2,3714,C,FALSE,NA,FALSE,FALSE,0,4,2,0,0,No,FALSE,2,2,FALSE,FALSE,0,No Card,Shooter malfunction
RX,21,R3,5587,F,FALSE,1,FALSE,FALSE,3,4,2,2,7,No,FALSE,6,3,FALSE,FALSE,0,No Card,Slow outake
KO,21,B1,888,C,FALSE,3,FALSE,FALSE,9,8,2,3,3,No,FALSE,1,4,FALSE,FALSE,0,No Card,NA
BS,21,B2,11318,M,FALSE,NA,FALSE,FALSE,5,7,0,3,0,No,FALSE,1,4,FALSE,FALSE,0,No Card,NA
AZ,21,B3,4456,F,FALSE,NA,FALSE,FALSE,1,5,0,1,5,No,FALSE,6,1,FALSE,FALSE,0,No Card,Shooter is broken
AW,22,R1,6882,M,FALSE,NA,FALSE,FALSE,6,6,0,2,4,No,FALSE,"6,5",3,FALSE,FALSE,0,No Card,"Got beached for a little while, not a very good shooter"
