"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
116,9.36,22,11.2,25.65,2.98,12.54,NA,NA
449,25.95,104.73,30.33,118.95,10.38,73.11,NA,NA
888,24.71,91.95,25.53,103.5,19.09,66.21,NA,NA
1389,8.08,46.97,7.3,57.26,7.58,27.68,NA,NA
1446,4.46,1.83,4.03,-8.05,4.75,17.34,NA,NA
1727,8.25,68.52,5.2,74.67,15.59,56.91,NA,NA
1731,19.51,93.99,20.34,103.72,15.92,68.56,NA,NA
2186,9.41,13.6,10.2,10.3,6.13,16.96,NA,NA
2421,3.1,14.26,1.23,17.84,6.89,4.92,NA,NA
2537,29.46,64.27,33.04,65.74,16.46,53.72,NA,NA
2900,10.44,19.12,10.5,23.64,6.99,6.25,NA,NA
2912,2.03,-5.72,2.21,-12.4,0,0,NA,NA
2914,6.8,20.29,6.37,18.37,6.38,23.28,NA,NA
2988,3.68,11.95,2.58,4.54,5.48,15.96,NA,NA
3373,6.34,43.57,6.88,45.02,3.97,38.89,NA,NA
3714,3.41,24.42,1.66,27.72,5.39,19.69,NA,NA
4456,9.47,32.14,9.95,35.82,6.71,24.47,NA,NA
4464,3.6,13.46,3.96,10.61,1.99,16.85,NA,NA
4472,13.47,52.54,14.88,51.24,9.14,50.95,NA,NA
4638,3.7,12.12,3.17,5.01,3.48,19.73,NA,NA
4821,7.68,12.76,8.05,6.25,5.9,20.36,NA,NA
5243,9.52,40.77,10.29,41.46,6.09,35.01,NA,NA
5338,13.14,77.41,11.35,84.92,16.64,58.44,NA,NA
5353,9.92,35.72,10.19,35.76,11.07,31.82,NA,NA
5549,18.03,77.3,19.42,91.52,11.82,46.49,NA,NA
5587,8.98,31.05,8.85,35.32,5.98,15.82,NA,NA
5841,5.39,2.01,5.98,-3.41,3.3,6.2,NA,NA
6239,8.51,31.66,8.22,32.93,8.01,24.02,NA,NA
6882,12.54,28.52,13.97,25.6,5.94,23.24,NA,NA
7886,5.6,6.85,6,-1.73,3.87,17.9,NA,NA
8590,6.49,20.07,5.01,20.14,9.05,13.59,NA,NA
11211,2.53,20.18,1.36,19.04,5,18.23,NA,NA
11318,6.21,26.59,6.98,28.28,5,18.23,NA,NA
