"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"4499","The Highlanders","39","230.1","1792","1996","52.5","119.8","57.7","0.73","0.17","-0.26","2026mil","Milstein Division","8","55-10-0","0.846"
"973","Greybots","40","229.3","1791","1994","39.4","131.3","58.7","0.59","0.47","-0.34","2026new","Newton Division","8","45-21-0","0.682"
"694","StuyPulse","41","228.8","1790","1993","42.5","132.9","53.4","0.62","0.32","-0.34","2026mil","Milstein Division","8","46-13-0","0.780"
"1241","THEORY6","42","228.6","1790","1992","43.1","121","64.5","0.61","0.47","-0.34","2026arc","Archimedes Division","8","52-15-1","0.772"
"2122","Team Tators","43","227.5","1788","1989","55","115.2","57.3","0.77","0.24","-0.34","2026mil","Milstein Division","8","50-10-1","0.828"
"2702","Rebels","44","227.2","1787","1988","39.9","138.1","49.3","0.59","0.43","-0.34","N/A","N/A","N/A","35-14-0","0.714"
"5907","CC Shambots","45","224.7","1783","1982","33.2","123.9","67.6","0.57","0.55","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","48-19-0","0.716"
"4678","CyberCavs","46","224.4","1783","1981","46.7","115.5","62.2","0.53","0.48","-0.34","2026dal","Daly Division","8","47-18-0","0.723"
"5736","Kingsmen Robotics","47","222.5","1780","1976","60.9","112","49.6","0.58","0.34","-0.34","2026new","Newton Division","8","28-10-0","0.737"
"604","Quixilver","48","222.4","1780","1976","43.2","123.8","55.5","0.64","0.43","-0.34","2026new","Newton Division","8","47-16-0","0.746"
"4469","R.A.I.D. (Raider Artificial...","49","219.1","1774","1967","33.1","123","62.9","0.49","0.39","-0.34","2026gal","Galileo Division","8","39-20-0","0.661"
"4476","W.A.F.F.L.E.S.","50","219","1774","1966","34.1","122.9","62","0.52","0.48","-0.34","2026mil","Milstein Division","8","45-20-0","0.692"
"8214","Cyber Unicorn","51","217.1","1771","1961","57.9","111.6","47.6","0.45","0.41","-0.34","2026hop","Hopper Division","8","16-8-0","0.667"
"695","Bison Robotics","52","215.9","1769","1958","44.5","114.1","57.3","0.73","0.16","-0.34","2026new","Newton Division","8","44-19-0","0.698"
"9023","Future Martians","53","215.8","1769","1958","35.8","128.1","51.9","0.54","0.45","-0.34","2026cur","Curie Division","8","57-22-0","0.722"
"2468","Team Appreciate","54","215","1768","1956","41.9","114.6","58.5","0.85","0.19","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","51-14-0","0.785"
"4946","The Alpha Dogs","55","214.7","1767","1955","56.8","113.8","44.1","0.53","0.58","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","62-12-0","0.838"
"4481","Team Rembrandts","56","214","1766","1953","38.7","131.6","43.7","0.6","0.12","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","37-15-0","0.712"
"3045","Gear Gremlins","57","213.7","1766","1952","48.4","114.2","51.1","0.6","0.4","-0.34","2026arc","Archimedes Division","8","43-20-0","0.683"
"316","LUNATECS","58","213.7","1765","1952","56","98","59.7","0.81","0.29","-0.34","2026dal","Daly Division","8","59-7-0","0.894"
"7457","suPURDUEper Robotics","59","213.7","1765","1952","52.6","122.1","38.9","0.57","0.45","-0.34","2026mil","Milstein Division","8","68-15-0","0.819"
"1732","Hilltopper Robotics","60","213.4","1765","1952","46.4","116","51","0.65","0.32","-0.34","2026hop","Hopper Division","8","54-13-1","0.801"
"6002","ZooBOTix","61","212.8","1764","1950","48.1","108.2","56.6","0.69","0.38","-0.34","2026mil","Milstein Division","8","63-23-0","0.733"
"3476","Code Orange","62","212","1763","1948","54.2","114.2","43.6","0.56","0.37","-0.34","2026arc","Archimedes Division","8","54-9-0","0.857"
"5193","Pantheon","63","212","1763","1948","48.9","112.3","50.9","0.71","0.41","-0.34","2026cur","Curie Division","8","51-15-0","0.773"
"8513","Sisters 1st","64","210.3","1760","1943","53.2","113.6","43.5","0.6","0.4","-0.34","2026hop","Hopper Division","8","50-13-0","0.794"
"6090","Wayland Wildcats","65","208.6","1757","1939","47.3","97.7","63.6","0.51","0.41","-0.34","2026mil","Milstein Division","8","51-15-0","0.773"
"4400","Cerbotics - Peñoles","66","208.6","1757","1939","32.3","117.8","58.5","0.75","0.14","-0.34","2026new","Newton Division","8","35-8-0","0.814"
"1540","Flaming Chickens","67","206.9","1755","1934","41.7","112.6","52.7","0.67","0.46","-0.34","2026new","Newton Division","8","63-20-1","0.756"
"6459","AG Robotik","68","206.5","1754","1933","33.6","126.1","46.8","0.72","0.12","-0.34","2026arc","Archimedes Division","8","32-13-0","0.711"
"195","CyberKnights","69","206","1753","1932","43.1","119.1","43.8","0.46","0.48","-0.34","2026new","Newton Division","8","45-21-1","0.679"
"3015","Ranger Robotics","70","205.4","1752","1930","35.6","116.2","53.6","0.64","0.19","-0.34","2026hop","Hopper Division","8","43-11-0","0.796"
